mode,shots,features,augment,acc,acc_std,f1w,f1w_std,f1m,f1m_std,seed
single_support_query,2,signature,0,0.3055555555555556,,0.19517241379310343,,0.19517241379310346,,
episodic_cv,2,signature,0,0.3138888888888889,0.06334307917217434,0.20566832639398774,0.04550879043365861,0.20566832639398774,0.0455087904336586,
single_support_query,3,signature,0,0.7941176470588235,,0.7895833333333334,,0.7895833333333334,,
episodic_cv,3,signature,0,0.85,0.0847344722993408,0.8409041231488162,0.09154979053401394,0.8409041231488162,0.09154979053401394,
single_support_query,4,signature,0,0.890625,,0.8851282051282051,,0.8851282051282051,,
episodic_cv,4,signature,0,0.90625,0.04419417382415922,0.8996888063114404,0.04987868688555561,0.8996888063114404,0.04987868688555561,
single_support_query,5,signature,0,0.8833333333333333,,0.8815820130475304,,0.8815820130475303,,
episodic_cv,5,signature,0,0.9100000000000001,0.03836954811073776,0.9054484488786491,0.04282710005267894,0.9054484488786491,0.04282710005267898,
single_support_query,6,signature,0,0.9107142857142857,,0.9111952861952862,,0.9111952861952862,,
episodic_cv,6,signature,0,0.9214285714285715,0.04987228587060335,0.9183046646839751,0.053425969084806055,0.9183046646839751,0.053425969084806055,
single_support_query,2,signature,0,0.3055555555555556,,0.19517241379310343,,0.19517241379310346,,
episodic_cv,2,signature,0,0.3138888888888889,0.06334307917217434,0.20566832639398774,0.04550879043365861,0.20566832639398774,0.0455087904336586,
single_support_query,3,signature,0,0.7941176470588235,,0.7895833333333334,,0.7895833333333334,,
episodic_cv,3,signature,0,0.85,0.0847344722993408,0.8409041231488162,0.09154979053401394,0.8409041231488162,0.09154979053401394,
single_support_query,4,signature,0,0.890625,,0.8851282051282051,,0.8851282051282051,,
episodic_cv,4,signature,0,0.90625,0.04419417382415922,0.8996888063114404,0.04987868688555561,0.8996888063114404,0.04987868688555561,
single_support_query,5,signature,0,0.8833333333333333,,0.8815820130475304,,0.8815820130475303,,
episodic_cv,5,signature,0,0.9100000000000001,0.03836954811073776,0.9054484488786491,0.04282710005267894,0.9054484488786491,0.04282710005267898,
single_support_query,6,signature,0,0.9107142857142857,,0.9111952861952862,,0.9111952861952862,,
episodic_cv,6,signature,0,0.9214285714285715,0.04987228587060335,0.9183046646839751,0.053425969084806055,0.9183046646839751,0.053425969084806055,
single_support_query,6,signature,0,0.9107142857142857,,0.9111952861952862,,0.9111952861952862,,
episodic_cv,6,signature,0,0.9214285714285715,0.04987228587060335,0.9183046646839751,0.053425969084806055,0.9183046646839751,0.053425969084806055,
