seed,acc,f1w,f1m
0,0.95,0.9498326513586525,0.9498326513586525
1,0.9166666666666666,0.9186507936507937,0.9186507936507936
2,0.9666666666666667,0.9666295884315907,0.9666295884315907
3,0.9833333333333333,0.9833147942157954,0.9833147942157954
4,0.9,0.8990384615384616,0.8990384615384616
5,0.9666666666666667,0.9666481275491287,0.9666481275491288
6,0.9666666666666667,0.9665178571428572,0.9665178571428572
7,0.9666666666666667,0.9660138248847926,0.9660138248847927
8,0.9333333333333333,0.9342261904761905,0.9342261904761905
9,0.9666666666666667,0.9660138248847926,0.9660138248847927
10,0.95,0.9505190952910642,0.9505190952910642
11,0.9166666666666666,0.9166481275491287,0.9166481275491287
12,0.95,0.9494949494949495,0.9494949494949495
13,0.9333333333333333,0.9335535154500672,0.9335535154500672
14,0.9166666666666666,0.9186507936507937,0.9186507936507936
15,0.9,0.9022425061978814,0.9022425061978814
16,0.9,0.9027777777777778,0.9027777777777778
17,0.9666666666666667,0.9671336206896552,0.9671336206896552
18,0.9833333333333333,0.9833147942157954,0.9833147942157954
19,0.9666666666666667,0.9660138248847926,0.9660138248847927
20,1.0,1.0,1.0
21,0.9666666666666667,0.9671336206896552,0.9671336206896552
22,0.95,0.950794894760412,0.950794894760412
23,0.8833333333333333,0.8840998927379629,0.8840998927379629
24,0.95,0.950794894760412,0.950794894760412
25,0.9333333333333333,0.9342672413793104,0.9342672413793104
26,0.9833333333333333,0.9833147942157954,0.9833147942157954
27,0.95,0.950794894760412,0.950794894760412
28,0.9666666666666667,0.9660138248847926,0.9660138248847927
29,0.9333333333333333,0.9328097437107448,0.9328097437107448
30,0.9666666666666667,0.9660138248847926,0.9660138248847927
31,0.9166666666666666,0.9186507936507937,0.9186507936507936
32,0.9833333333333333,0.9833147942157954,0.9833147942157954
33,0.9666666666666667,0.9665178571428572,0.9665178571428572
34,0.9,0.9027777777777778,0.9027777777777778
35,1.0,1.0,1.0
36,0.9166666666666666,0.9154414910483746,0.9154414910483746
37,0.9666666666666667,0.9665178571428572,0.9665178571428572
38,0.9666666666666667,0.9660138248847926,0.9660138248847927
39,0.95,0.9494949494949495,0.9494949494949495
40,0.9666666666666667,0.9665178571428572,0.9665178571428572
41,0.9833333333333333,0.9833147942157954,0.9833147942157954
42,0.9166666666666666,0.9177233963663329,0.9177233963663329
43,0.9833333333333333,0.9833147942157954,0.9833147942157954
44,0.9166666666666666,0.9186507936507937,0.9186507936507936
45,0.9,0.902014652014652,0.902014652014652
46,0.95,0.9498326513586526,0.9498326513586526
47,0.9666666666666667,0.9665178571428572,0.9665178571428572
48,0.95,0.950794894760412,0.950794894760412
49,0.9,0.9020251778872469,0.9020251778872469
50,0.9666666666666667,0.9666481275491287,0.9666481275491288
51,0.9833333333333333,0.9833147942157954,0.9833147942157954
52,0.9666666666666667,0.9666666666666667,0.9666666666666667
53,0.9833333333333333,0.9833147942157954,0.9833147942157954
54,0.9666666666666667,0.9660138248847926,0.9660138248847927
55,0.9333333333333333,0.9348739495798319,0.9348739495798319
56,0.9333333333333333,0.9321266968325792,0.9321266968325792
57,0.9833333333333333,0.9833147942157954,0.9833147942157954
58,0.95,0.9498326513586525,0.9498326513586525
59,0.9833333333333333,0.9833147942157954,0.9833147942157954
60,0.95,0.950794894760412,0.950794894760412
61,0.9,0.902014652014652,0.902014652014652
62,0.95,0.9494949494949495,0.9494949494949495
63,0.9166666666666666,0.9172034861690034,0.9172034861690034
64,0.95,0.950794894760412,0.950794894760412
65,0.9666666666666667,0.9666481275491287,0.9666481275491287
66,0.9666666666666667,0.9660138248847926,0.9660138248847927
67,0.9,0.8976005085015096,0.8976005085015096
68,0.95,0.9480286738351253,0.9480286738351255
69,0.9666666666666667,0.9665178571428572,0.9665178571428572
70,0.9333333333333333,0.9330357142857142,0.9330357142857143
71,0.9666666666666667,0.9660138248847926,0.9660138248847927
72,0.9833333333333333,0.9833147942157954,0.9833147942157954
73,0.95,0.9498511904761905,0.9498511904761905
74,0.95,0.949347158218126,0.949347158218126
75,0.9333333333333333,0.9331845238095239,0.9331845238095238
76,0.95,0.9498326513586525,0.9498326513586525
77,1.0,1.0,1.0
78,0.8833333333333333,0.8865079365079365,0.8865079365079365
79,0.9666666666666667,0.9666481275491287,0.9666481275491287
80,0.9,0.9027777777777778,0.9027777777777778
81,0.95,0.9494949494949495,0.9494949494949495
82,0.95,0.950794894760412,0.950794894760412
83,0.95,0.9494949494949495,0.9494949494949495
84,0.95,0.950794894760412,0.950794894760412
85,0.9833333333333333,0.9833147942157954,0.9833147942157954
86,1.0,1.0,1.0
87,0.9333333333333333,0.9321266968325792,0.9321266968325792
88,0.9666666666666667,0.9666481275491287,0.9666481275491288
89,0.9833333333333333,0.9833147942157954,0.9833147942157954
90,0.9166666666666666,0.9184020002985521,0.918402000298552
91,0.9166666666666666,0.9161616161616162,0.9161616161616162
92,0.95,0.9494949494949495,0.9494949494949495
93,0.9666666666666667,0.9665178571428572,0.9665178571428572
94,0.9333333333333333,0.9342261904761905,0.9342261904761905
95,0.9166666666666666,0.9184020002985521,0.918402000298552
96,1.0,1.0,1.0
97,0.9666666666666667,0.9666666666666667,0.9666666666666667
98,0.9833333333333333,0.9833147942157954,0.9833147942157954
99,0.9666666666666667,0.9666481275491287,0.9666481275491287
